"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"238","","Ryan Tannehill","MIA ","QB28","1","178","214","202.0","14.5"
"239","","Chris Ivory","JAC","RB83","8","180","244","210.0","26.3"
"240","","Donnel Pumphrey","PHI ","RB84","10","181","218","199.5","18.5"
"241","","Terrance Williams","DAL","WR98","6","182","236","209.0","27.0"
"242","","Jesse James","PIT","TE32","9","183","231","207.0","24.0"
"243","","Orleans Darkwa","NYG","RB85","8","186","241","213.5","27.5"
"244","","Jason Witten","DAL","TE33","6","186","231","215.5","17.6"
"245","","Joe Flacco","BAL","QB29","10","187","229","210.0","17.4"
"246","","Case Keenum","MIN","QB30","9","187","246","212.3","24.8"
"247","","Josh Reynolds","LAR","WR99","8","189","248","213.8","22.1"
"248","","Braxton Miller","HOU","WR100","7","191","243","217.3","18.8"
"249","","Geronimo Allison","GB","WR101","8","195","245","220.0","25.0"
"250","","Charcandrick West","KC","RB86","10","197","251","226.3","22.3"
"251","","Vance McDonald","PIT","TE34","9","211","227","219.0","8.0"
"252","","Chad Hansen","NYJ","WR102","11","209","232","220.5","11.5"
"253","","Jake Butt","DEN ","TE35","5","215","237","224.0","9.4"
"254","","Dontrelle Inman","CHI","WR103","9","224","226","225.0","1.0"
"255","","Erik Swoope","IND ","TE36","11","215","239","227.0","12.0"
"256","","Kendall Wright","CHI","WR104","9","220","240","227.0","9.2"
"257","","Rico Gathers","DAL ","TE37","6","218","238","228.0","10.0"
"258","","Tavon Austin","LAR","WR105","8","226","233","229.5","3.5"
"259","","Phillip Dorsett","NE","WR106","9","228","234","231.0","3.0"
"260","","Teddy Bridgewater","MIN","QB31","9","216","243","231.7","11.4"
"261","","Sam Bradford","MIN","QB32","9","228","242","233.3","6.2"
"262","","Travis Benjamin","LAC","WR107","9","217","250","237.0","14.4"
"263","","Trevor Siemian","DEN ","QB33","5","236","250","243.0","7.0"
""
""
